hour,num_of_patients
0,5.63736263736264
1,4.72451790633609
2,3.86647727272727
3,3.44285714285714
4,3.26843657817109
5,3.65229885057471
6,3.48717948717949
7,5.33701657458564
8,7.00274725274725
9,8.35342465753425
10,9.46301369863014
11,10.9534246575342
12,10.5150684931507
13,10.2876712328767
14,10.0630136986301
15,10.1835616438356
16,10.1424657534247
17,9.85753424657534
18,9.49041095890411
19,10.013698630137
20,9.02191780821918
21,8.10958904109589
22,7.70684931506849
23,7.03581267217631
